date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:27	140432/140432	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:54%20GMT	https://shi-nua.com/img/small/20.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/20.jpg	(from https://shi-nua.com/)
03:02:28	554748/554748	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:13%20GMT	https://shi-nua.com/img/big/20.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/20.jpg	(from https://shi-nua.com/)
03:02:28	571342/571342	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:14%20GMT	https://shi-nua.com/img/big/21.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/21.jpg	(from https://shi-nua.com/)
03:02:28	141745/141745	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:55%20GMT	https://shi-nua.com/img/small/21.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/21.jpg	(from https://shi-nua.com/)
03:02:29	133294/133294	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jun%202021%2001:40:15%20GMT	https://shi-nua.com/img/01.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/01.jpg	(from https://shi-nua.com/)
03:02:29	93944/93944	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jun%202021%2001:40:15%20GMT	https://shi-nua.com/img/02.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/02.jpg	(from https://shi-nua.com/)
03:02:29	426297/426297	---M--	200	added ('OK')	application/pdf	date:Fri,%2017%20Mar%202023%2022:47:33%20GMT	https://shi-nua.com/carta-shi-nua-bar.pdf	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/carta-shi-nua-bar.pdf	(from https://shi-nua.com/)
03:02:29	519614/519614	---M--	200	added ('OK')	application/pdf	date:Wed,%2022%20Nov%202023%2020:45:14%20GMT	https://shi-nua.com/carta-shi-nua-salon.pdf	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/carta-shi-nua-salon.pdf	(from https://shi-nua.com/)
03:02:29	81252/81252	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jun%202021%2001:40:15%20GMT	https://shi-nua.com/img/03.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/03.jpg	(from https://shi-nua.com/)
03:02:29	86574/86574	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jun%202021%2001:40:15%20GMT	https://shi-nua.com/img/04.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/04.jpg	(from https://shi-nua.com/)
03:02:29	169716/169716	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jun%202021%2001:40:16%20GMT	https://shi-nua.com/img/05.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/05.jpg	(from https://shi-nua.com/)
03:02:29	17619/17619	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2022:32:22%20GMT	https://shi-nua.com/img/logo_dlp.png	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/logo_dlp.png	(from https://shi-nua.com/)
03:02:30	96380/96380	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Jun%202021%2001:40:47%20GMT	https://shi-nua.com/js/jquery.js	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/js/jquery.js	(from https://shi-nua.com/)
03:02:30	31819/31819	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Jun%202021%2001:40:47%20GMT	https://shi-nua.com/js/bootstrap.min.js	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/js/bootstrap.min.js	(from https://shi-nua.com/)
03:02:30	3297/3297	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Jun%202021%2001:40:47%20GMT	https://shi-nua.com/js/contactform.js	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/js/contactform.js	(from https://shi-nua.com/)
03:02:30	12689/12689	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Jun%202021%2001:40:47%20GMT	https://shi-nua.com/js/init.js	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/js/init.js	(from https://shi-nua.com/)
03:02:31	320940/320940	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Jun%202021%2001:40:48%20GMT	https://shi-nua.com/js/plugins.js	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/js/plugins.js	(from https://shi-nua.com/)
03:02:31	435622/435622	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:56:25%20GMT	https://shi-nua.com/img/bg/home2.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/bg/home2.jpg	(from https://shi-nua.com/)
03:02:32	573301/573301	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:56:27%20GMT	https://shi-nua.com/img/bg/home4.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/bg/home4.jpg	(from https://shi-nua.com/)
03:02:32	13070/13070	---MCZ	200	added ('OK')	application/javascript	etag:W/%22330e-61998ae0bdb80%22	https://www.covermanager.com/js/iframeResizer.min.js	C:/Users/Alberth/Desktop/RESTAURAN/www.covermanager.com/js/iframeResizer.min.js	(from https://shi-nua.com/)
03:02:32	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2002%20Jun%202021%2001:40:13%20GMT	https://shi-nua.com/fonts/glyphicons-halflings-regular.eot	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/fonts/glyphicons-halflings-regular.eot	(from https://shi-nua.com/css/bootstrap.min.css)
03:02:32	503183/503183	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:56:25%20GMT	https://shi-nua.com/img/bg/home3.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/bg/home3.jpg	(from https://shi-nua.com/)
03:02:32	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2002%20Jun%202021%2001:40:13%20GMT	https://shi-nua.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://shi-nua.com/css/bootstrap.min.css)
03:02:32	23320/23320	---M--	200	added ('OK')	font/woff	date:Wed,%2002%20Jun%202021%2001:40:13%20GMT	https://shi-nua.com/fonts/glyphicons-halflings-regular.woff	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/fonts/glyphicons-halflings-regular.woff	(from https://shi-nua.com/css/bootstrap.min.css)
03:02:33	41280/41280	---M--	200	added ('OK')	font/ttf	date:Wed,%2002%20Jun%202021%2001:40:13%20GMT	https://shi-nua.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/fonts/glyphicons-halflings-regular.ttf	(from https://shi-nua.com/css/bootstrap.min.css)
03:02:33	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2002%20Jun%202021%2001:40:13%20GMT	https://shi-nua.com/fonts/glyphicons-halflings-regular.svg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/fonts/glyphicons-halflings-regular.svg	(from https://shi-nua.com/css/bootstrap.min.css)
03:02:33	16/16	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2008:02:33%20GMT	https://shi-nua.com/css/AjaxLoader.gif	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/css/AjaxLoader.gif	(from https://shi-nua.com/css/plugins.css)
03:02:33	50409/50409	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Jun%202021%2001:40:38%20GMT	https://shi-nua.com/img/drag.png	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/drag.png	(from https://shi-nua.com/css/plugins.css)
